vary_factor,logrank_p_reject,wlr_fh00_p_reject,wlr_fh01_p_reject,wlr_fh11_p_reject,wlr_fh10_p_reject,maxcombo_p_reject,cox_p_reject,rmst6_p_reject,rmst12_p_reject,cox_hr_bias,cox_hr_mse,rmst6_bias,rmst6_mse,rmst12_bias,rmst12_mse,mile6_bias,mile12_bias,replications,n_total,lambda0,cens_prop,prev,hr_overall,rel,hr_pos,hr_neg,true_hr_mix,true_rmst6,true_rmst12,true_mile6,true_mile12,scenario_id,logrank_p_reject_mcse,wlr_fh00_p_reject_mcse,wlr_fh01_p_reject_mcse,wlr_fh11_p_reject_mcse,wlr_fh10_p_reject_mcse,maxcombo_p_reject_mcse,cox_p_reject_mcse,rmst6_p_reject_mcse,rmst12_p_reject_mcse,rmst6_bias_mcse,rmst12_bias_mcse,cox_hr_bias_mcse,is_null_proxy,is_alt,nph_range,nph_ratio,crosses_one
n_total,0.545,0.545,0.42,0.495,0.415,0.45,0.545,0.13,0.215,-0.0147927628861761,0.0087457039277636,0.0048946284646368,0.0354428609393514,0.0394605341638517,0.193025037085327,0.0032733693385905,0.0069392175372682,200,300,0.0577622650466621,0.1,0.3,0.8,0.8,0.64,0.868571428571429,0.8,0.170463136776407,0.56220242569845,0.0512562321203144,0.0758961212048063,161,0.035211858797853886,0.035211858797853886,0.034899856733230296,0.03535357124817803,0.0348407089480108,0.03517811819867572,0.035211858797853886,0.02378024390118823,0.029049526674285075,0.013307686416418251,0.030940903617123927,0.0065295015483407964,False,True,0.016095192728303953,1.0205320755517773,False
n_total,0.67,0.67,0.585,0.57,0.575,0.565,0.665,0.23,0.335,-0.0019817478508521,0.0068672826248305,0.0006337658672264,0.0233754353413613,-0.0056674465351629,0.138634441372771,0.000405938142241,-0.0033781535558072,200,500,0.0577622650466621,0.1,0.3,0.8,0.8,0.64,0.868571428571429,0.8,0.170463136776407,0.56220242569845,0.0512562321203144,0.0758961212048063,485,0.0332490601370926,0.0332490601370926,0.03484070894801081,0.03500714212842859,0.03495532863527391,0.03505531343462785,0.0333747659167821,0.02975735203273302,0.0333747659167821,0.010810881944177089,0.02632511362012917,0.005858052278823629,False,True,0.016095192728303953,1.0205320755517773,False
n_total,0.9,0.9,0.86,0.875,0.825,0.85,0.9,0.325,0.545,-0.0026518973843881,0.0030934685606202,-0.0155480690896246,0.0115659253209834,-0.0371518002378524,0.068553276731693,-0.00415382997357,-0.0031395358115004,200,1000,0.0577622650466621,0.1,0.3,0.8,0.8,0.64,0.868571428571429,0.8,0.170463136776407,0.56220242569845,0.0512562321203144,0.0758961212048063,809,0.021213203435596423,0.021213203435596423,0.024535688292770596,0.023385358667337135,0.02686773157525585,0.025248762345905194,0.021213203435596423,0.03311910324872942,0.035211858797853886,0.007524686993014281,0.01832662277545698,0.00392838134661267,False,True,0.016095192728303953,1.0205320755517773,False
n_total,0.985,0.985,0.965,0.98,0.96,0.975,0.985,0.475,0.74,-0.0048783488594489,0.0017456451429884,-0.0063802985885635,0.0057172880203779,-0.0280705563004822,0.0381081191838911,-0.0019770276543664,-0.0047648052229463,200,1500,0.0577622650466621,0.1,0.3,0.8,0.8,0.64,0.868571428571429,0.8,0.170463136776407,0.56220242569845,0.0512562321203144,0.0758961212048063,1133,0.008595056718835545,0.008595056718835545,0.012995191418367032,0.009899494936611668,0.013856406460551024,0.011039701082909813,0.008595056718835545,0.035311117229563836,0.031016124838541645,0.0053275603282828595,0.013660190894140637,0.0029341496684677777,False,True,0.016095192728303953,1.0205320755517773,False
lambda0,0.64,0.64,0.585,0.585,0.545,0.54,0.64,0.105,0.18,-0.001256979358037,0.0062877437415811,-0.0012436719275841,0.0096544310614502,-0.0042031905148944,0.0719834559470569,-0.0012827656313732,-0.0016902886184084,200,500,0.0192540883488874,0.1,0.3,0.8,0.8,0.64,0.868571428571429,0.8,0.0648301415778629,0.242696858055023,0.0208907557883459,0.0377825312969705,377,0.03394112549695428,0.03394112549695428,0.03484070894801081,0.03484070894801081,0.035211858797853886,0.035242020373412196,0.03394112549695428,0.021676600286945368,0.027166155414412252,0.00694726001441818,0.018969157748375706,0.005606319534451532,False,True,0.00517437289618583,1.0065100730521739,False
lambda0,0.67,0.67,0.585,0.57,0.575,0.565,0.665,0.23,0.335,-0.0019817478508521,0.0068672826248305,0.0006337658672264,0.0233754353413613,-0.0056674465351629,0.138634441372771,0.000405938142241,-0.0033781535558072,200,500,0.0577622650466621,0.1,0.3,0.8,0.8,0.64,0.868571428571429,0.8,0.170463136776407,0.56220242569845,0.0512562321203144,0.0758961212048063,485,0.0332490601370926,0.0332490601370926,0.03484070894801081,0.03500714212842859,0.03495532863527391,0.03505531343462785,0.0333747659167821,0.02975735203273302,0.0333747659167821,0.010810881944177089,0.02632511362012917,0.005858052278823629,False,True,0.016095192728303953,1.0205320755517773,False
lambda0,0.71,0.71,0.615,0.62,0.575,0.61,0.71,0.38,0.55,-0.0074536190529295,0.0059904111065213,0.0074930567135352,0.0307103002035571,0.0031673791269243,0.149169617574508,0.0004216335815421,-0.0021376320595783,200,500,0.115524530093324,0.1,0.3,0.8,0.8,0.64,0.868571428571429,0.8,0.281101212849225,0.77814899716078,0.0758961212048063,0.0835128516154212,593,0.03208582241426889,0.03208582241426889,0.034407484650872115,0.03432200460346103,0.03495532863527391,0.03448912872196107,0.03208582241426889,0.03432200460346103,0.03517811819867572,0.012380257328635146,0.02730930109724289,0.005447409783344331,False,True,0.033556841443988183,1.0437825572182151,False
cens_prop,0.75,0.75,0.625,0.695,0.59,0.625,0.75,0.16,0.375,-0.0093242365774938,0.0053138413327377,-0.0127974426890292,0.0210093777999541,0.0020132593902119,0.132190047855488,-0.0010785213823527,0.0059542161191649,200,500,0.0577622650466621,0.0,0.3,0.8,0.8,0.64,0.868571428571429,0.8,0.170463136776407,0.56220242569845,0.0512562321203144,0.0758961212048063,449,0.030618621784789725,0.030618621784789725,0.03423265984407288,0.03255572146336186,0.0347778665245584,0.03423265984407288,0.030618621784789725,0.02592296279363144,0.03423265984407288,0.010209212325291093,0.025708558365077155,0.005112191284070182,False,True,0.016095192728303953,1.0205320755517773,False
cens_prop,0.67,0.67,0.585,0.57,0.575,0.565,0.665,0.23,0.335,-0.0019817478508521,0.0068672826248305,0.0006337658672264,0.0233754353413613,-0.0056674465351629,0.138634441372771,0.000405938142241,-0.0033781535558072,200,500,0.0577622650466621,0.1,0.3,0.8,0.8,0.64,0.868571428571429,0.8,0.170463136776407,0.56220242569845,0.0512562321203144,0.0758961212048063,485,0.0332490601370926,0.0332490601370926,0.03484070894801081,0.03500714212842859,0.03495532863527391,0.03505531343462785,0.0333747659167821,0.02975735203273302,0.0333747659167821,0.010810881944177089,0.02632511362012917,0.005858052278823629,False,True,0.016095192728303953,1.0205320755517773,False
cens_prop,0.59,0.59,0.505,0.5,0.475,0.465,0.59,0.175,0.335,-0.0073879397224519,0.0070079970058522,0.0064902119859259,0.0201730756049314,-0.0043538124124084,0.136734136712874,0.0004077496456512,-0.0027316337346162,200,500,0.0577622650466621,0.3,0.3,0.8,0.8,0.64,0.868571428571429,0.8,0.170463136776407,0.56220242569845,0.0512562321203144,0.0758961212048063,521,0.0347778665245584,0.0347778665245584,0.03535357124817803,0.035355339059327376,0.035311117229563836,0.03526861210765175,0.0347778665245584,0.026867731575255845,0.0333747659167821,0.010032684773606002,0.026145284568192362,0.005896361315468048,False,True,0.016095192728303953,1.0205320755517773,False
prev,0.65,0.65,0.53,0.55,0.49,0.5,0.65,0.21,0.29,0.0044755061753063,0.0055268419875425,0.0051839558969077,0.0214223861210881,-0.0228229050703221,0.124166497473982,-0.0012193201069339,-0.0035246043537216,200,500,0.0577622650466621,0.1,0.1,0.8,0.8,0.64,0.817777777777778,0.8,0.169664008571582,0.556953118934194,0.0508831226174672,0.0747549036178605,473,0.033726843908080104,0.033726843908080104,0.03529164207004259,0.03517811819867572,0.03534826728426727,0.035355339059327376,0.033726843908080104,0.028801041647829335,0.03208582241426889,0.010342995872170455,0.024864192373585458,0.005247290649476783,False,True,0.004350075908159057,1.0054673239780978,False
prev,0.67,0.67,0.585,0.57,0.575,0.565,0.665,0.23,0.335,-0.0019817478508521,0.0068672826248305,0.0006337658672264,0.0233754353413613,-0.0056674465351629,0.138634441372771,0.000405938142241,-0.0033781535558072,200,500,0.0577622650466621,0.1,0.3,0.8,0.8,0.64,0.868571428571429,0.8,0.170463136776407,0.56220242569845,0.0512562321203144,0.0758961212048063,485,0.0332490601370926,0.0332490601370926,0.03484070894801081,0.03500714212842859,0.03495532863527391,0.03505531343462785,0.0333747659167821,0.02975735203273302,0.0333747659167821,0.010810881944177089,0.02632511362012917,0.005858052278823629,False,True,0.016095192728303953,1.0205320755517773,False
prev,0.75,0.75,0.7,0.65,0.565,0.605,0.75,0.22,0.335,-0.0170397098087621,0.0051101945661263,-0.0102524840794367,0.0209072243732326,-0.0247734438831021,0.119154925510979,-0.0017156005797633,-0.0020646235891033,200,500,0.0577622650466621,0.1,0.5,0.8,0.8,0.64,0.96,0.8,0.171884305567192,0.571430437838194,0.0519169696122203,0.0778849310547427,497,0.030618621784789725,0.030618621784789725,0.032403703492039304,0.033726843908080104,0.03505531343462785,0.03456696399743547,0.030618621784789725,0.02929163703175362,0.0333747659167821,0.010198556501641174,0.024345554213156637,0.0049090950570138065,False,True,0.03491836270007942,1.0456400480650812,False
hr_overall,0.95,0.95,0.89,0.92,0.905,0.92,0.95,0.41,0.65,0.000424416793408,0.0055055572725442,0.0029258062786729,0.0214027725142159,-0.0046511813347475,0.137354292711713,-0.0015334689280996,-0.0011416805017774,200,500,0.0577622650466621,0.1,0.3,0.7,0.8,0.56,0.76,0.7,0.257828529831753,0.85717827673342,0.0778768374445287,0.116838080617486,482,0.015411035007422448,0.015411035007422448,0.022124646889837583,0.019183326093250873,0.02073342711661533,0.019183326093250873,0.015411035007422448,0.0347778665245584,0.033726843908080104,0.010342681512024717,0.026204261029831036,0.005246607066919379,False,True,0.012245565716927254,1.017805142513828,False
hr_overall,0.67,0.67,0.585,0.57,0.575,0.565,0.665,0.23,0.335,-0.0019817478508521,0.0068672826248305,0.0006337658672264,0.0233754353413613,-0.0056674465351629,0.138634441372771,0.000405938142241,-0.0033781535558072,200,500,0.0577622650466621,0.1,0.3,0.8,0.8,0.64,0.868571428571429,0.8,0.170463136776407,0.56220242569845,0.0512562321203144,0.0758961212048063,485,0.0332490601370926,0.0332490601370926,0.03484070894801081,0.03500714212842859,0.03495532863527391,0.03505531343462785,0.0333747659167821,0.02975735203273302,0.0333747659167821,0.010810881944177089,0.02632511362012917,0.005858052278823629,False,True,0.016095192728303953,1.0205320755517773,False
hr_overall,0.25,0.25,0.205,0.195,0.165,0.155,0.245,0.085,0.115,-0.011150345809169,0.0070059063400305,0.0022758757921983,0.0237781622637703,0.0046532560693752,0.151029599875686,-0.0009522686111974,0.002549876439619,200,500,0.0577622650466621,0.1,0.3,0.9,0.8,0.72,0.977142857142857,0.9,0.0850731289756625,0.280052234002468,0.0255539437935669,0.0377185701427303,488,0.030618621784789725,0.030618621784789725,0.028546015483776367,0.028015620642777128,0.026246428328441186,0.02559052559053839,0.030411757594719844,0.01971991379291502,0.022558257911461158,0.01090251866614976,0.027477986378521155,0.0058658231001141046,False,True,0.020494261319797258,1.0233020211449118,False
hr_overall,0.065,0.065,0.06,0.065,0.05,0.05,0.06,0.06,0.06,-0.0054540846477496,0.0089815448757919,-0.0175258381111605,0.0237848433232584,-0.0337634002665988,0.139440416589906,-0.0033872137611693,-0.0034866964000505,200,500,0.0577622650466621,0.1,0.3,1.0,0.8,0.8,1.08571428571429,1.0,0.0016071805539947,0.0100822807833687,0.0007378307018689,0.0021160091467135,491,0.017432010784760317,0.017432010784760317,0.016792855623746664,0.017432010784760317,0.015411035007422441,0.015411035007422441,0.016792855623746664,0.016792855623746664,0.016792855623746664,0.010834594667489825,0.02629643030834636,0.00669021592941778,True,False,0.025449206623579967,1.0261137816484749,True
rel,0.72,0.72,0.64,0.675,0.555,0.615,0.72,0.21,0.36,-0.0149972645519437,0.0069198446862315,-0.0033393599039736,0.0236819942724536,0.0007265985197218,0.144319322222924,0.000611774199857,0.0019917421168404,200,500,0.0577622650466621,0.1,0.3,0.8,0.7,0.56,0.902857142857143,0.8,0.171823475688715,0.571217135473749,0.0518933552786658,0.0778691993897089,484,0.03174901573277509,0.03174901573277509,0.03394112549695428,0.03311910324872942,0.03514078826662828,0.034407484650872115,0.03174901573277509,0.028801041647829335,0.03394112549695428,0.010879072328991414,0.026862501212425765,0.0057857267228026395,False,True,0.03704865584938688,1.0485596573535536,False
