logrank_p_reject,wlr_fh00_p_reject,wlr_fh01_p_reject,wlr_fh11_p_reject,wlr_fh10_p_reject,maxcombo_p_reject,cox_p_reject,rmst6_p_reject,rmst12_p_reject,cox_hr_bias,cox_hr_mse,rmst6_bias,rmst6_mse,rmst12_bias,rmst12_mse,mile6_bias,mile12_bias,replications,n_total,lambda0,cens_prop,prev,hr_overall,rel,hr_pos,hr_neg,true_hr_mix,true_rmst6,true_rmst12,true_mile6,true_mile12,scenario_id
0.87,0.87,0.83,0.81,0.75,0.81,0.87,0.105,0.2,-0.0032463200878194,0.0075792012403367,-0.0052993370837576,0.0138600872204216,-0.0074065025569546,0.102532304095324,-0.0014838275529592,-0.0002985629977524,200,300,0.0192540883488874,0.0,0.1,0.7,0.7,0.49,0.723333333333333,0.7,0.0974741560016081,0.365749662988549,0.0314478509933108,0.0570795130761399,1
0.895,0.895,0.805,0.825,0.815,0.8,0.895,0.13,0.18,-0.0026556824950378,0.0067144215105574,-0.0003325298047862,0.0140648456105439,0.0153062903168869,0.0952704201739509,4.41402169388194e-05,0.0052244726650336,200,300,0.0192540883488874,0.0,0.1,0.7,0.8,0.56,0.715555555555555,0.7,0.0974397253312187,0.365488563940261,0.031430943242681,0.0570165611352721,2
0.87,0.87,0.755,0.745,0.71,0.76,0.87,0.105,0.195,0.0067949271412156,0.0081124717433503,-0.0103980809912775,0.0148688270993786,-0.0134699932630691,0.116031202645933,-0.0039500311401867,0.0006138712085222,200,300,0.0192540883488874,0.0,0.1,0.7,0.9,0.63,0.707777777777778,0.7,0.0974191212707449,0.365332727010205,0.0314208343165187,0.0569790565340957,3
0.52,0.52,0.445,0.46,0.415,0.435,0.52,0.09,0.15,-0.0016120548785232,0.010242223024757,0.0081531178811133,0.0146755517551898,0.0226792466096478,0.112692720356289,0.0023761748187113,0.0024122372053982,200,300,0.0192540883488874,0.0,0.1,0.8,0.7,0.56,0.826666666666667,0.8,0.0647733388414213,0.242273642878244,0.0208630294204412,0.0376817348644702,4
0.465,0.465,0.395,0.415,0.365,0.335,0.465,0.06,0.105,-0.0011181602544617,0.0082296581153415,0.0107687046969366,0.0135775590503372,0.0369789437498665,0.0961088186785982,0.004300714482437,0.0046936823720822,200,300,0.0192540883488874,0.0,0.1,0.8,0.8,0.64,0.817777777777778,0.8,0.064728711105043,0.241937773975138,0.0208411709164319,0.0376011784004064,5
0.49,0.49,0.43,0.41,0.365,0.375,0.49,0.08,0.125,0.0067994207104742,0.0091375686470837,0.0020080726638341,0.0159890258783634,0.0028982764759331,0.120971759678211,0.0004003443981544,0.0002594998601993,200,300,0.0192540883488874,0.0,0.1,0.8,0.9,0.72,0.808888888888889,0.8,0.0647020149380735,0.241737461091773,0.0208281086118826,0.0375532345845322,6
0.17,0.17,0.155,0.16,0.12,0.105,0.17,0.03,0.055,0.0068505134393552,0.013272291302744,-0.0061168182255226,0.0132774309700404,-0.0261480645839476,0.11476882172878,-0.0043723099398962,-0.0012921948530135,200,300,0.0192540883488874,0.0,0.1,0.9,0.7,0.63,0.93,0.9,0.0323238035786524,0.120672082243722,0.0104009117165177,0.0187307804466006,7
0.16,0.16,0.175,0.135,0.105,0.11,0.16,0.06,0.075,0.0006233550690701,0.011756776766878,0.008988362379058,0.0167608264168911,0.0240554885665262,0.110221207716874,0.0028461698527524,0.0026589438566289,200,300,0.0192540883488874,0.0,0.1,0.9,0.8,0.72,0.92,0.9,0.0322677520632402,0.120253420380415,0.0103735289965156,0.0186308921960289,8
0.135,0.135,0.105,0.12,0.11,0.065,0.135,0.04,0.06,0.016362337415978,0.0125495104365609,-0.0030658103090037,0.0152270169238436,-0.0155719782978877,0.106763205897263,-0.0006921390925512,-0.002827152427625,200,300,0.0192540883488874,0.0,0.1,0.9,0.9,0.81,0.91,0.9,0.0322342348302529,0.120003916878737,0.0103571737951571,0.0185715036862932,9
0.055,0.055,0.05,0.045,0.06,0.035,0.055,0.035,0.045,-0.022185885938188,0.0133401784160137,0.0069679011080173,0.0153084662245263,0.0113429828469615,0.112502138450854,0.0027415824491474,0.0005286063611322,200,300,0.0192540883488874,0.0,0.1,1.0,0.7,0.7,1.03333333333333,1.0,0.0001233573087064,0.0009125864628849,6.00651779336658e-05,0.0002162817188435,10
