"logrank_p_reject","wlr_fh00_p_reject","wlr_fh01_p_reject","wlr_fh11_p_reject","wlr_fh10_p_reject","maxcombo_p_reject","cox_p_reject","rmst6_p_reject","rmst12_p_reject","cox_hr_bias","cox_hr_mse","rmst6_bias","rmst6_mse","rmst12_bias","rmst12_mse","mile6_bias","mile12_bias","replications","n_total","lambda0","cens_prop","prev","hr_overall","rel","hr_pos","hr_neg","true_hr_mix","true_rmst6","true_rmst12","true_mile6","true_mile12"
0.02,0.02,0.07,0.055,0.02,0.025,0.02,0.025,0.035,-0.0027959089620246,0.0115188209209376,-0.00028788982189468,0.0150126908026278,0.0168033154234757,0.109789713061218,0.00172157716670756,0.00170945875324123,200,300,0.0192540883488874,0,0.1,1,0.9,0.9,1.01111111111111,1,1.36362869902484e-05,0.00010036607559627,6.62815457286303e-06,2.37013429341681e-05
0.045,0.045,0.05,0.045,0.05,0.025,0.045,0.035,0.045,-0.00157061271349594,0.0121192712260385,-0.000686779112235736,0.0370246631948819,-0.00052539819456614,0.214781599917395,-0.000978868468047552,0.00186783147606544,200,300,0.0577622650466621,0,0.1,1,0.9,0.9,1.01111111111111,1,0.000103933286710323,0.000650450246798329,4.7673763319156e-05,0.000136248945139306
0.055,0.055,0.035,0.05,0.065,0.04,0.055,0.055,0.07,0.0152430105450621,0.0158737243957624,0.00456607834266272,0.0577764285732824,0.00405110918396704,0.253415148337445,-0.000707080881584624,0.00049980846110664,200,300,0.115524530093324,0,0.1,1,0.9,0.9,1.01111111111111,1,0.000325225123399164,0.00161548764604813,0.000136248945139306,0.000278278285172906
0.05,0.05,0.05,0.08,0.05,0.045,0.05,0.045,0.06,0.0195964690064342,0.0157783052516645,0.00515789346028989,0.0166099514655314,0.0111901819842147,0.118513541257084,0.00250773644659453,-0.000566305827709909,200,300,0.0192540883488874,0.1,0.1,1,0.9,0.9,1.01111111111111,1,1.36362869902484e-05,0.00010036607559627,6.62815457286303e-06,2.37013429341681e-05
0.055,0.055,0.06,0.055,0.07,0.02,0.055,0.065,0.065,0.00706665822202464,0.0158226516858788,0.0123679718721104,0.0447089976131873,0.025460820740253,0.238722302374104,0.0015021979269454,2.90869623849332e-05,200,300,0.0577622650466621,0.1,0.1,1,0.9,0.9,1.01111111111111,1,0.000103933286710323,0.000650450246798329,4.7673763319156e-05,0.000136248945139306
0.045,0.045,0.055,0.035,0.035,0.025,0.045,0.06,0.04,0.0125874860672391,0.0135266365890768,-0.00467056226908753,0.0563996929596476,0.00267996372473447,0.215489117949366,0.00150334946651804,0.000284393242648746,200,300,0.115524530093324,0.1,0.1,1,0.9,0.9,1.01111111111111,1,0.000325225123399164,0.00161548764604813,0.000136248945139306,0.000278278285172906
0.05,0.05,0.06,0.07,0.035,0.035,0.05,0.05,0.085,0.0117053327515939,0.0191624585137588,-0.00519374089886324,0.0197831943556657,-0.00769407059672603,0.140285399338199,-0.000721366005787878,-0.000272834582733048,200,300,0.0192540883488874,0.3,0.1,1,0.9,0.9,1.01111111111111,1,1.36362869902484e-05,0.00010036607559627,6.62815457286303e-06,2.37013429341681e-05
0.025,0.025,0.045,0.035,0.04,0.025,0.025,0.065,0.05,-0.00958513885036137,0.0174536006238893,0.0280929264070037,0.0441937074521153,0.0482428277571271,0.244604504397274,0.00520847045214913,0.00396135879857181,200,300,0.0577622650466621,0.3,0.1,1,0.9,0.9,1.01111111111111,1,0.000103933286710323,0.000650450246798329,4.7673763319156e-05,0.000136248945139306
0.065,0.065,0.055,0.06,0.06,0.055,0.065,0.045,0.06,0.0110191153238721,0.0239421313140696,-0.0108844440195226,0.0627157119612988,0.00347900187499671,0.32972441034881,-0.00122345771883637,0.00523771522617564,200,300,0.115524530093324,0.3,0.1,1,0.9,0.9,1.01111111111111,1,0.000325225123399164,0.00161548764604813,0.000136248945139306,0.000278278285172906
0.045,0.045,0.045,0.045,0.035,0.025,0.045,0.02,0.035,0.00455340946360545,0.012913353415683,-0.00871234651922878,0.014582520286372,-0.00627020911012094,0.0987745625673384,-0.00106015613699235,0.00120546387033555,200,300,0.0192540883488874,0,0.3,1,0.9,0.9,1.04285714285714,1,5.25492354785939e-05,0.000386426844634968,2.5534550787687e-05,9.11968825599851e-05
