"logrank_p_reject","wlr_fh00_p_reject","wlr_fh01_p_reject","wlr_fh11_p_reject","wlr_fh10_p_reject","maxcombo_p_reject","cox_p_reject","rmst6_p_reject","rmst12_p_reject","cox_hr_bias","cox_hr_mse","rmst6_bias","rmst6_mse","rmst12_bias","rmst12_mse","mile6_bias","mile12_bias","replications","n_total","lambda0","cens_prop","prev","hr_overall","rel","hr_pos","hr_neg","true_hr_mix","true_rmst6","true_rmst12","true_mile6","true_mile12"
0.035,0.035,0.07,0.05,0.05,0.035,0.035,0.06,0.045,0.0105358748874646,0.015283245896449,0.00742641811739306,0.016538254950861,0.0168727429146151,0.114707752354223,0.000977582137963084,0.00199758612885688,200,300,0.0192540883488874,0,0.1,1,0.9,0.9,1.01111111111111,1,1.36362869902484e-05,0.00010036607559627,6.62815457286303e-06,2.37013429341681e-05
0.05,0.05,0.055,0.065,0.05,0.03,0.05,0.07,0.055,0.0105839846863007,0.0154024191958865,-0.00554182416774224,0.0423793505545744,-0.0287552075320166,0.233219682237098,-0.00243255822177568,-0.00584259238878836,200,300,0.0577622650466621,0,0.1,1,0.9,0.9,1.01111111111111,1,0.000103933286710323,0.000650450246798329,4.7673763319156e-05,0.000136248945139306
0.04,0.04,0.06,0.065,0.035,0.035,0.04,0.03,0.05,0.0118812102539409,0.0143033212766469,0.00365596743751313,0.051189958249203,0.0155971891970796,0.219675267449907,0.00046494063969545,0.000576713058160902,200,300,0.115524530093324,0,0.1,1,0.9,0.9,1.01111111111111,1,0.000325225123399164,0.00161548764604813,0.000136248945139306,0.000278278285172906
0.055,0.055,0.05,0.055,0.04,0.04,0.055,0.055,0.06,0.0113956423604332,0.0161850151777847,-0.0111964593654003,0.0175109683674007,-0.0205270247419713,0.123937672337762,-0.00225110837081325,0.00097030394198988,200,300,0.0192540883488874,0.1,0.1,1,0.9,0.9,1.01111111111111,1,1.36362869902484e-05,0.00010036607559627,6.62815457286303e-06,2.37013429341681e-05
0.045,0.045,0.04,0.04,0.035,0.02,0.045,0.06,0.05,0.00693390173784177,0.015205702579147,-0.00747474609212015,0.039480817270099,-0.00533803573209833,0.240433091946814,0.00197526204715684,-0.00170255442606884,200,300,0.0577622650466621,0.1,0.1,1,0.9,0.9,1.01111111111111,1,0.000103933286710323,0.000650450246798329,4.7673763319156e-05,0.000136248945139306
0.055,0.055,0.06,0.045,0.045,0.03,0.055,0.06,0.04,0.0025405381390187,0.0163434202865198,0.0290661232016393,0.0648403636963549,0.0450827453719915,0.258595808877122,0.00331445579318354,-4.71675102992913e-05,200,300,0.115524530093324,0.1,0.1,1,0.9,0.9,1.01111111111111,1,0.000325225123399164,0.00161548764604813,0.000136248945139306,0.000278278285172906
0.05,0.05,0.045,0.045,0.03,0.025,0.05,0.04,0.025,-0.0155908716560625,0.016572205180773,0.00241602036744624,0.01404236505277,0.0179358575975939,0.102479902401918,0.00238141454615312,0.00311112623586139,200,300,0.0192540883488874,0.3,0.1,1,0.9,0.9,1.01111111111111,1,1.36362869902484e-05,0.00010036607559627,6.62815457286303e-06,2.37013429341681e-05
0.04,0.04,0.04,0.015,0.035,0.015,0.04,0.07,0.045,0.0202915144517555,0.0188255043768462,-0.0292684301461879,0.0414836769229645,-0.0619181658966025,0.228460521233344,-0.00385387425388887,-0.00857887693941484,200,300,0.0577622650466621,0.3,0.1,1,0.9,0.9,1.01111111111111,1,0.000103933286710323,0.000650450246798329,4.7673763319156e-05,0.000136248945139306
0.04,0.04,0.06,0.04,0.05,0.02,0.04,0.08,0.055,-0.011289875454294,0.0190025689482346,0.0158831318909938,0.0621478508320497,0.0526594270869777,0.280881502001921,0.00480181482552161,0.00518530334624174,200,300,0.115524530093324,0.3,0.1,1,0.9,0.9,1.01111111111111,1,0.000325225123399164,0.00161548764604813,0.000136248945139306,0.000278278285172906
0.05,0.05,0.055,0.06,0.06,0.055,0.05,0.015,0.025,0.00557944666439804,0.0142914030378999,-0.0097213854560831,0.0140014233540076,-0.0223216605594283,0.106910323431349,-0.00205701321156961,-0.00459273711728198,200,300,0.0192540883488874,0,0.3,1,0.9,0.9,1.04285714285714,1,5.25492354785939e-05,0.000386426844634968,2.5534550787687e-05,9.11968825599851e-05
0.045,0.045,0.06,0.04,0.065,0.02,0.045,0.045,0.055,0.00123265537056008,0.0124625105006311,-0.001874094883841,0.0415272971624974,-0.021205006495354,0.233103624363605,-0.00261268775361544,-0.00141260890739346,200,300,0.0577622650466621,0,0.3,1,0.9,0.9,1.04285714285714,1,0.000399807294170884,0.00249569782386594,0.000183214353567274,0.000521725092659131
0.03,0.03,0.035,0.025,0.045,0.015,0.03,0.06,0.035,0.0107083693340738,0.0122892931849683,-0.0325911887581192,0.0629230503400652,-0.0605518937596739,0.233884454029388,-0.00542533909198924,-0.00452122302149255,200,300,0.115524530093324,0,0.3,1,0.9,0.9,1.04285714285714,1,0.00124784891193297,0.00616893048093559,0.000521725092659131,0.00105800457335675
0.045,0.045,0.055,0.06,0.03,0.01,0.045,0.065,0.045,0.00403511643502256,0.0134399318645622,0.00185771910911457,0.0169790041982578,-0.0066619412487041,0.117293959965131,-0.0026818720001476,-0.00192825777386761,200,300,0.0192540883488874,0.1,0.3,1,0.9,0.9,1.04285714285714,1,5.25492354785939e-05,0.000386426844634968,2.5534550787687e-05,9.11968825599851e-05
0.055,0.055,0.055,0.05,0.045,0.025,0.055,0.045,0.05,-0.0117219426439354,0.0135884564371013,-0.00805181480362521,0.0404998300641046,0.0151226236163609,0.240454328853001,0.000665239546119827,0.00388248058822214,200,300,0.0577622650466621,0.1,0.3,1,0.9,0.9,1.04285714285714,1,0.000399807294170884,0.00249569782386594,0.000183214353567274,0.000521725092659131
